passer_player_id,passer_player_name,week,passing_yards,passing_tds,interceptions,pass_attempts,rusher_player_id,rushing_yards,rushing_tds,fumbles_lost,fantasy_points,recent_team,opponent_team,def_qb_fp_allowed_roll5,qb_fp_roll5,league_qb_fp_allowed,proj_baseline,proj_adj,def_delta,proj_shrunk_02
00-0036972,M.Jones,8,193.0,2.0,1.0,35.0,00-0036972,23.0,0.0,0.0,16.019999,SF,HOU,7.534000110626221,15.111999988555908,15.449999,15.111999988555908,7.196001243591309,-7.915998744964599,13.528800239562988
00-0036972,M.Jones,9,235.0,2.0,0.0,26.0,00-0036972,4.0,0.0,0.0,17.8,SF,NYG,20.067999839782715,13.563999652862549,17.785,13.563999652862549,15.846999645233154,2.2829999923706055,14.02059965133667
00-0036972,M.Jones,10,319.0,3.0,1.0,40.0,00-0036972,3.0,0.0,0.0,23.06,SF,LA,11.81399974822998,14.471999645233154,14.004286,14.471999645233154,12.281713581085205,-2.1902860641479496,14.033942432403565
00-0037012,T.Lance,5,44.0,0.0,0.0,5.0,00-0037012,11.0,0.0,0.0,2.8600001,LAC,WAS,18.695000886917114,12.544999480247498,16.651785,12.544999480247498,14.588215470314026,2.0432159900665283,12.953642678260803
00-0037012,T.Lance,11,37.0,0.0,0.0,9.0,00-0037012,1.0,0.0,0.0,1.58,LAC,JAX,25.208000564575194,10.464999437332153,13.483999,10.464999437332153,22.18900074958801,11.724001312255858,12.809799699783325
00-0037012,T.Lance,13,9.0,0.0,0.0,1.0,00-0037012,4.0,0.0,0.0,0.76,LAC,LV,17.38399991989136,9.564999490976334,14.141562,9.564999490976334,12.807436949014665,3.2424374580383315,10.213486982584
00-0037013,Z.Wilson,1,32.0,0.0,0.0,8.0,00-0037013,3.0,0.0,0.0,1.5799999,MIA,IND,12.78000020980835,7.413333137830098,17.265,7.413333137830098,2.9283339579900103,-4.484999179840088,6.516333301862081
00-0037013,Z.Wilson,8,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,MIA,ATL,10.255999946594239,2.0066667000452676,15.449999,2.0066667000452676,-3.187332208951314,-5.193998908996582,0.9678669182459512
00-0037239,C.Olave,4,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,-2.0,NO,BUF,13.46500015258789,2.0066667000452676,15.64,2.0066667000452676,-0.1683334906895957,-2.1750001907348633,1.5716666618982948
00-0037324,C.Oladokun,16,111.0,0.0,0.0,20.0,00-0037324,7.0,0.0,0.0,5.14,KC,TEN,19.981999588012695,1.5799999833106995,13.793646,1.5799999833106995,7.768353712558746,6.188353729248046,2.8176707291603087
00-0037324,C.Oladokun,17,66.0,1.0,0.0,23.0,00-0037324,11.0,0.0,0.0,7.7400002,KC,DEN,18.092000198364257,3.359999895095825,10.346666,3.359999895095825,11.105333757400512,7.745333862304687,4.909066667556763
00-0037742,T.Burks,17,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,WAS,DAL,26.03199996948242,3.359999895095825,10.346666,3.359999895095825,19.045333528518675,15.68533363342285,6.497066621780395
00-0037834,B.Purdy,1,277.0,2.0,2.0,36.0,00-0037834,17.0,0.0,0.0,16.78,SF,SEA,19.415000915527344,5.139999866485596,17.265,5.139999866485596,7.290001392364502,2.1500015258789062,5.570000171661377
00-0037834,B.Purdy,4,309.0,2.0,2.0,40.0,00-0037834,13.0,0.0,0.0,17.66,SF,JAX,10.562499761581421,10.960000276565552,15.64,10.960000276565552,5.882499694824219,-5.077500581741333,9.944500160217284
00-0037834,B.Purdy,11,200.0,3.0,0.0,28.0,00-0037834,-7.0,0.0,0.0,19.3,SF,ARI,13.231999778747559,13.193333466847738,13.483999,13.193333466847738,12.941333993275961,-0.251999473571777,13.142933572133384
00-0037834,B.Purdy,12,193.0,1.0,3.0,32.0,00-0037834,16.0,0.0,0.0,7.319999,SF,CAR,7.9320001125335695,17.913333257039387,13.55,17.913333257039387,12.295333178838092,-5.618000078201294,16.789733241399126
00-0037834,B.Purdy,13,168.0,1.0,0.0,31.0,00-0037834,4.0,1.0,0.0,17.119999,SF,CLE,10.903999483585357,15.264999747276306,14.141562,15.264999747276306,12.027436769008636,-3.23756297826767,14.617487151622772
00-0037834,B.Purdy,15,295.0,3.0,0.0,32.0,00-0037834,44.0,0.0,0.0,28.199999,SF,TEN,19.881999969482422,15.635999584197998,16.586876,15.635999584197998,18.931123638153075,3.295124053955078,16.295024394989014
00-0037834,B.Purdy,16,295.0,5.0,1.0,35.0,00-0037834,11.0,0.0,0.0,30.9,SF,IND,11.226000022888183,17.919999217987062,13.793646,17.919999217987062,15.352353382110596,-2.5676458358764656,17.40647005081177
00-0038102,K.Pickett,7,8.0,0.0,0.0,2.0,00-0038102,0.0,0.0,1.0,-1.6800001,LV,KC,13.41599998474121,17.9849990606308,15.190001,17.9849990606308,16.210998511314394,-1.7740005493164066,17.630198950767518
00-0038102,K.Pickett,10,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,LV,DEN,12.911999893188476,12.739999234676361,14.004286,12.739999234676361,11.647713315486907,-1.0922859191894538,12.52154205083847
00-0038102,K.Pickett,14,97.0,1.0,0.0,12.0,00-0038102,6.0,0.0,0.0,8.4800005,LV,DEN,10.109999990463256,10.909999430179596,14.376429,10.909999430179596,6.643570816516876,-4.26642861366272,10.056713707447052
00-0038102,K.Pickett,15,64.0,0.0,1.0,29.0,00-0038102,7.0,0.0,0.0,1.26,LV,PHI,14.523999786376953,8.749999821186066,16.586876,8.749999821186066,6.687123692035675,-2.062876129150391,8.337424595355987
